"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"328",2008,1,17,"CO","PHX",-2,19,1009,NA
"329",2008,1,27,"AA","RDU",-5,-15,1062,NA
"330",2008,1,15,"US","MCO",1,-4,468,NA
"331",2008,1,31,"B6","BOS",-1,4,1185,NA
"332",2008,1,6,"WN","MDW",45,49,1258,NA
"333",2008,1,15,"WN","SJC",58,61,387,NA
"334",2008,1,29,"YV","SBP",0,8,509,NA
"335",2008,1,25,"WN","TUL",13,8,351,NA
"336",2008,1,15,"MQ","ORD",2,-2,224,NA
"337",2008,1,15,"MQ","ORD",-3,-15,109,NA
"338",2008,1,29,"XE","EWR",0,-19,284,NA
"339",2008,1,22,"WN","GEG",-2,-9,287,NA
"340",2008,1,25,"MQ","CLT",0,12,544,NA
"341",2008,1,20,"FL","ATL",-3,-7,545,NA
"342",2008,1,1,"OO","CWA",59,49,213,NA
"343",2008,1,9,"OH","CMH",18,26,478,NA
"344",2008,1,25,"OO","ORD",2,-10,738,NA
"345",2008,1,29,"MQ","LGA",5,-2,185,NA
"346",2008,1,20,"WN","SDF",23,12,495,NA
"347",2008,1,9,"OH","CVG",0,-2,741,NA
"348",2008,1,10,"AA","DFW",0,-11,1302,NA
"349",2008,1,17,"F9","DEN",-1,2,775,NA
"350",2008,1,18,"YV","DEN",-5,-20,197,NA
"351",2008,1,16,"OO","SFO",-9,-4,199,NA
"352",2008,1,28,"WN","SMF",1,5,479,NA
"353",2008,1,8,"AA","DFW",-5,-9,936,NA
"354",2008,1,3,"MQ","IND",20,6,177,NA
"355",2008,1,20,"WN","SNA",3,-6,371,NA
"356",2008,1,11,"OH","GSO",-5,1,461,NA
"357",2008,1,3,"EV","JAN",-3,8,341,NA
"358",2008,1,8,"OH","CVG",0,-1,569,NA
"359",2008,1,31,"WN","DAL",85,91,562,NA
"360",2008,1,19,"XE","EWR",-3,37,821,NA
"361",2008,1,21,"AA","STL",-2,6,719,NA
"362",2008,1,16,"US","PHL",NA,NA,280,NA
"363",2008,1,22,"OO","SFO",33,23,599,NA
"364",2008,1,31,"WN","BNA",2,-10,588,NA
"365",2008,1,28,"XE","IAH",19,22,519,NA
"366",2008,1,21,"WN","BWI",-2,-11,682,NA
"367",2008,1,10,"WN","SAN",3,11,446,NA
"368",2008,1,7,"OO","ORD",40,31,299,NA
"369",2008,1,22,"WN","LAS",10,12,1069,NA
"370",2008,1,1,"MQ","DFW",-3,-4,313,NA
"371",2008,1,17,"CO","DCA",10,38,1208,NA
"372",2008,1,4,"AA","LAX",334,377,337,NA
